I[2019-10-14|22:00:05.809] starting ABCI with Tendermint                module=main 
E[2019-10-14|22:02:31.049] dialing failed (attempts: 1): dial tcp 18.191.244.197:26656: i/o timeout module=pex addr=93effed4aca10c51b73e5ea791b95d356b22664d@18.191.244.197:26656
E[2019-10-14|22:02:31.049] dialing failed (attempts: 2): dial tcp 100.96.54.6:26656: i/o timeout module=pex addr=51bf44cf343b850fad2fbbcd8469e2b65dcbc76f@100.96.54.6:26656
E[2019-10-14|22:03:00.048] dialing failed (attempts: 3): dial tcp [2a05:d014:c32:e842:d337:50fa:7c4a:b27b]:26656: connect: network is unreachable module=pex addr=827e0cc1c63afc622519d8050bbf02446169afd2@[2a05:d014:c32:e842:d337:50fa:7c4a:b27b]:26656
E[2019-10-14|22:03:00.049] dialing failed (attempts: 1): dial tcp [2a05:d014:c32:e843:4012:6dc:35be:d93]:26656: connect: network is unreachable module=pex addr=e2969f4700ab685f7e9007f1b398818f111e9c56@[2a05:d014:c32:e843:4012:6dc:35be:d93]:26656
E[2019-10-14|22:03:00.752] dialing failed (attempts: 2): incompatible: Peer is on a different network. Got gaia-13006, expected cosmoshub-3-testnet module=pex addr=5977d063efa60574f995b68014969ff4c7a844a7@159.89.125.186:26656
E[2019-10-14|22:03:01.048] dialing failed (attempts: 1): dial tcp 100.96.54.62:26656: i/o timeout module=pex addr=5bcfff9df5b49a0820dc57d8d3a87b7cde2c91fe@100.96.54.62:26656
E[2019-10-14|22:03:01.048] dialing failed (attempts: 1): dial tcp 100.96.10.2:26656: i/o timeout module=pex addr=cdfc46116b1ecaf4ee0c7abfd4abbc03acedeaee@100.96.10.2:26656
E[2019-10-14|22:03:01.049] dialing failed (attempts: 1): dial tcp 100.96.33.27:26656: i/o timeout module=pex addr=8a867b55c6db6d27620f20362ad780319f60e433@100.96.33.27:26656
E[2019-10-14|22:03:01.049] dialing failed (attempts: 2): dial tcp 100.96.53.75:26656: i/o timeout module=pex addr=ab872ebd48b020667b4d24b736f00ef3d53013c7@100.96.53.75:26656
E[2019-10-14|22:03:09.182] Failed to reconnect to peer. Beginning exponential backoff module=p2p addr=dd007089b861900dea9ee4280451106c1a4ff41a@35.194.181.217:26656 elapsed=2m38.132086818s
E[2019-10-14|22:03:30.244] dialing failed (attempts: 1): dial tcp 104.248.73.176:26656: connect: connection refused module=pex addr=6bfc09a2e7d54eae11fca032a1651c7d0606303c@104.248.73.176:26656
E[2019-10-14|22:03:30.865] dialing failed (attempts: 1): incompatible: Peer is on a different network. Got gaia-13006, expected cosmoshub-3-testnet module=pex addr=97999c553316d5b1ec1add580f6b1cf3d8220851@18.235.7.247:26656
E[2019-10-14|22:03:31.048] dialing failed (attempts: 1): dial tcp 100.96.38.10:26656: i/o timeout module=pex addr=29437bf02f5f83c143d62cbcc1b26c89c38b9998@100.96.38.10:26656
E[2019-10-14|22:03:31.049] dialing failed (attempts: 2): dial tcp 18.179.9.186:26656: i/o timeout module=pex addr=62bc0e839a1bbd580be57bf3c3d35ca94aba4bf8@18.179.9.186:26656
E[2019-10-14|22:03:31.049] dialing failed (attempts: 1): dial tcp 18.220.88.236:26656: i/o timeout module=pex addr=d80b032026324a8e3c7f2c5af9e34bdcabc1f1dd@18.220.88.236:26656
E[2019-10-14|22:03:31.049] dialing failed (attempts: 1): dial tcp 3.17.160.173:26656: i/o timeout module=pex addr=32c1254dce473a153d2dc2953e059593c63b524f@3.17.160.173:26656
E[2019-10-14|22:03:31.049] dialing failed (attempts: 2): dial tcp 34.252.187.224:26656: i/o timeout module=pex addr=1746db4d470c8941aa13b7c0c9d49d478fca2951@34.252.187.224:26656
E[2019-10-14|22:04:00.048] dialing failed (attempts: 1): dial tcp [2a05:d014:c32:e844:a53:6003:2376:7fd4]:26656: connect: network is unreachable module=pex addr=e0049dc9a70e9c3b4df277d246ee98051691db3f@[2a05:d014:c32:e844:a53:6003:2376:7fd4]:26656
E[2019-10-14|22:04:00.049] dialing failed (attempts: 2): dial tcp [2a05:d014:c32:e843:4012:6dc:35be:d93]:26656: connect: network is unreachable module=pex addr=e2969f4700ab685f7e9007f1b398818f111e9c56@[2a05:d014:c32:e843:4012:6dc:35be:d93]:26656
E[2019-10-14|22:04:00.288] dialing failed (attempts: 3): dial tcp 3.87.179.235:26656: connect: connection refused module=pex addr=3e16af0cead27979e1fc3dac57d03df3c7a77acc@3.87.179.235:26656
E[2019-10-14|22:04:01.048] dialing failed (attempts: 2): dial tcp 54.154.189.123:26656: i/o timeout module=pex addr=83585a5c18a127c1e08e70609d528097b4b24b0a@54.154.189.123:26656
E[2019-10-14|22:04:01.048] dialing failed (attempts: 1): dial tcp 100.96.11.2:26656: i/o timeout module=pex addr=8c00b94a4b56b1800093fce328648446c9ff1cbf@100.96.11.2:26656
E[2019-10-14|22:04:01.049] dialing failed (attempts: 1): dial tcp 100.96.29.205:26656: i/o timeout module=pex addr=dab79cbd596e3f70c4f7a55a8d29a70f615eb2db@100.96.29.205:26656
E[2019-10-14|22:04:01.049] dialing failed (attempts: 1): dial tcp 52.15.152.8:26656: i/o timeout module=pex addr=28ea1d368873ec31309ef1970f80b57d2c9a2d18@52.15.152.8:26656
E[2019-10-14|22:04:30.049] dialing failed (attempts: 4): dial tcp [2a05:d014:c32:e842:d337:50fa:7c4a:b27b]:26656: connect: network is unreachable module=pex addr=827e0cc1c63afc622519d8050bbf02446169afd2@[2a05:d014:c32:e842:d337:50fa:7c4a:b27b]:26656
E[2019-10-14|22:04:30.780] dialing failed (attempts: 1): incompatible: Peer is on a different network. Got gaia-13006, expected cosmoshub-3-testnet module=pex addr=bc2116ad26f9a27db0ac0782617331c8bc6da388@45.77.218.219:26656
E[2019-10-14|22:04:31.055] dialing failed (attempts: 2): dial tcp 100.96.4.3:26656: i/o timeout module=pex addr=69dd13ec7692e862ab57e685c49966ed7990b72d@100.96.4.3:26656
E[2019-10-14|22:04:31.056] dialing failed (attempts: 2): dial tcp 35.194.181.217:26656: i/o timeout module=pex addr=dd007089b861900dea9ee4280451106c1a4ff41a@35.194.181.217:26656
E[2019-10-14|22:04:31.056] dialing failed (attempts: 2): dial tcp 100.96.11.2:26656: i/o timeout module=pex addr=8c00b94a4b56b1800093fce328648446c9ff1cbf@100.96.11.2:26656
E[2019-10-14|22:04:31.056] dialing failed (attempts: 3): dial tcp 34.252.187.224:26656: i/o timeout module=pex addr=1746db4d470c8941aa13b7c0c9d49d478fca2951@34.252.187.224:26656
E[2019-10-14|22:05:00.048] dialing failed (attempts: 5): dial tcp [2a05:d014:c32:e842:d337:50fa:7c4a:b27b]:26656: connect: network is unreachable module=pex addr=827e0cc1c63afc622519d8050bbf02446169afd2@[2a05:d014:c32:e842:d337:50fa:7c4a:b27b]:26656
E[2019-10-14|22:05:01.048] dialing failed (attempts: 2): dial tcp 13.59.206.150:26656: i/o timeout module=pex addr=7bd13b706dce2f7318beed527e84200a44b110e7@13.59.206.150:26656
E[2019-10-14|22:05:01.049] dialing failed (attempts: 3): dial tcp 18.179.9.186:26656: i/o timeout module=pex addr=a86b5bdd4cfbfb14de2116772bc6ec7b6676e3d3@18.179.9.186:26656
E[2019-10-14|22:05:01.049] dialing failed (attempts: 1): dial tcp 34.254.251.180:26656: i/o timeout module=pex addr=a51822c40e6f5bf4313387997eeb747d2fc4076f@34.254.251.180:26656
E[2019-10-14|22:05:01.049] dialing failed (attempts: 1): dial tcp 100.96.54.207:26656: i/o timeout module=pex addr=d02e89b545d6267ee8e6b2e562dbdf0fe343bead@100.96.54.207:26656
E[2019-10-14|22:05:01.049] dialing failed (attempts: 2): dial tcp 100.96.38.10:26656: i/o timeout module=pex addr=29437bf02f5f83c143d62cbcc1b26c89c38b9998@100.96.38.10:26656
E[2019-10-14|22:05:30.048] dialing failed (attempts: 2): dial tcp [2a05:d014:c32:e844:a53:6003:2376:7fd4]:26656: connect: network is unreachable module=pex addr=e0049dc9a70e9c3b4df277d246ee98051691db3f@[2a05:d014:c32:e844:a53:6003:2376:7fd4]:26656
E[2019-10-14|22:05:31.048] dialing failed (attempts: 3): dial tcp 100.96.38.10:26656: i/o timeout module=pex addr=29437bf02f5f83c143d62cbcc1b26c89c38b9998@100.96.38.10:26656
E[2019-10-14|22:05:31.049] dialing failed (attempts: 3): dial tcp 18.203.234.98:26656: i/o timeout module=pex addr=6b99e4c3db603dfe07793d799e701a7caa63f7ee@18.203.234.98:26656
E[2019-10-14|22:05:31.049] dialing failed (attempts: 2): dial tcp 34.254.194.249:26656: i/o timeout module=pex addr=1e8eb29886a274178cdc4da0236256e5f81f928d@34.254.194.249:26656
E[2019-10-14|22:05:31.049] dialing failed (attempts: 1): dial tcp 100.96.13.21:26656: i/o timeout module=pex addr=52b9be1d050c48434fba0373262ae7b30e6c0d11@100.96.13.21:26656
E[2019-10-14|22:06:01.048] dialing failed (attempts: 3): dial tcp 100.96.11.2:26656: i/o timeout module=pex addr=8c00b94a4b56b1800093fce328648446c9ff1cbf@100.96.11.2:26656
E[2019-10-14|22:06:01.048] dialing failed (attempts: 2): dial tcp 100.96.54.62:26656: i/o timeout module=pex addr=5bcfff9df5b49a0820dc57d8d3a87b7cde2c91fe@100.96.54.62:26656
E[2019-10-14|22:06:01.048] dialing failed (attempts: 1): dial tcp 100.96.53.133:26656: i/o timeout module=pex addr=f888e001f4dcf6bc14c4febed9791b6993b2fc8d@100.96.53.133:26656
E[2019-10-14|22:06:01.049] dialing failed (attempts: 1): dial tcp 51.158.96.248:26656: i/o timeout module=pex addr=a1f1f78c922584c2c7dae7c10e1d98e9aa07edd8@51.158.96.248:26656
E[2019-10-14|22:06:01.049] dialing failed (attempts: 1): dial tcp 34.255.123.33:26656: i/o timeout module=pex addr=245eb3c574ba503cf02cec094636d74874466060@34.255.123.33:26656
E[2019-10-14|22:06:03.155] dialing failed (attempts: 1): incompatible: Peer is on a different network. Got gaia-13006, expected cosmoshub-3-testnet module=pex addr=01cbbd3506b422d782e5472e1e1b4aca8f8eaec0@35.247.100.212:26656
E[2019-10-14|22:06:30.048] dialing failed (attempts: 1): dial tcp [2a05:d014:c32:e842:e249:2e0e:c015:a734]:26656: connect: network is unreachable module=pex addr=2aff6c43dcc35e49690a09e01c5f1c55cfeec7f8@[2a05:d014:c32:e842:e249:2e0e:c015:a734]:26656
E[2019-10-14|22:06:30.048] dialing failed (attempts: 2): dial tcp [2a05:d014:c32:e843:6acd:57d1:610e:bb25]:26656: connect: network is unreachable module=pex addr=4297cbaf959b0d64d89851a0bf52c0160134efc5@[2a05:d014:c32:e843:6acd:57d1:610e:bb25]:26656
E[2019-10-14|22:06:30.352] dialing failed (attempts: 1): dial tcp 163.172.129.132:26656: connect: connection refused module=pex addr=06b158b29797610476e621f28867cbae926fd1d3@163.172.129.132:26656
E[2019-10-14|22:06:30.436] dialing failed (attempts: 1): dial tcp 51.38.113.59:26656: connect: connection refused module=pex addr=5e13a96357d7326b1eff969ef8d96da39896327d@51.38.113.59:26656
E[2019-10-14|22:06:31.048] dialing failed (attempts: 1): dial tcp 3.120.248.247:26677: i/o timeout module=pex addr=238780c89bc1bac58c1554f570d3fb97e3941b78@3.120.248.247:26677
E[2019-10-14|22:06:31.048] dialing failed (attempts: 4): dial tcp 100.96.11.2:26656: i/o timeout module=pex addr=8d14b7ac449356fbd6189d0db23e2f32a43beb42@100.96.11.2:26656
E[2019-10-14|22:07:01.048] dialing failed (attempts: 2): dial tcp 100.96.22.2:26656: i/o timeout module=pex addr=7c863b16eb349b2b5374c9b93d97975288699de3@100.96.22.2:26656
E[2019-10-14|22:07:01.049] dialing failed (attempts: 1): dial tcp 100.96.33.2:26656: i/o timeout module=pex addr=ea9337b91c962e792c60f58107b654672fce1027@100.96.33.2:26656
E[2019-10-14|22:07:01.049] dialing failed (attempts: 1): dial tcp 52.34.145.12:26656: i/o timeout module=pex addr=bb9b5b58e3648b4e00707c2ba824440c4685ae21@52.34.145.12:26656
E[2019-10-14|22:07:01.049] dialing failed (attempts: 1): dial tcp 100.96.6.4:26656: i/o timeout module=pex addr=c698a47a726ef2ced274a079bbc19ae8a2a73bef@100.96.6.4:26656
E[2019-10-14|22:07:01.049] dialing failed (attempts: 4): dial tcp 18.203.234.98:26656: i/o timeout module=pex addr=dd072e431afd96ac9abe0f0f14311666c946c96b@18.203.234.98:26656
E[2019-10-14|22:07:01.049] dialing failed (attempts: 3): dial tcp 100.96.54.62:26656: i/o timeout module=pex addr=5bcfff9df5b49a0820dc57d8d3a87b7cde2c91fe@100.96.54.62:26656
E[2019-10-14|22:07:30.770] dialing failed (attempts: 2): incompatible: Peer is on a different network. Got gaia-13006, expected cosmoshub-3-testnet module=pex addr=bc2116ad26f9a27db0ac0782617331c8bc6da388@45.77.218.219:26656
E[2019-10-14|22:07:30.922] dialing failed (attempts: 2): incompatible: Peer is on a different network. Got gaia-13006, expected cosmoshub-3-testnet module=pex addr=97999c553316d5b1ec1add580f6b1cf3d8220851@18.235.7.247:26656
E[2019-10-14|22:07:31.048] dialing failed (attempts: 1): dial tcp 3.14.253.59:26656: i/o timeout module=pex addr=808f5d8c79469dc28a776379cc0674e7dedbbe35@3.14.253.59:26656
E[2019-10-14|22:07:31.049] dialing failed (attempts: 3): dial tcp 35.194.181.217:26656: i/o timeout module=pex addr=dd007089b861900dea9ee4280451106c1a4ff41a@35.194.181.217:26656
E[2019-10-14|22:07:31.049] dialing failed (attempts: 1): dial tcp 34.245.10.43:26656: i/o timeout module=pex addr=76f6f11dab21d40d5fe0855ced42752f96ccad4f@34.245.10.43:26656
E[2019-10-14|22:08:01.048] dialing failed (attempts: 1): dial tcp 221.165.237.202:26656: i/o timeout module=pex addr=5a1b9b12d180cfcd3e69de0ee4128c545121a70e@221.165.237.202:26656
